"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"11","The Balvenie Moscatel Cask - Taiwan Exclusive","ADDED — optional facts left blank","B52477","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn","All dates remain null. Auction 2024 metadata and a production bottle code do not prove a marketed 2024 edition, bottling year or release date. Natural colour, filtration, cask strength, single-cask status, PPM, cask number, outturn and flavor profile are unconfirmed. No age-to-vintage calculation. Cask Finishes membership is not inferred merely from finishing. Taiwan Exclusive is explicitly marketed and printed.","https://whiskyauctioneer.com/whisky-lot/5279579/balvenie-moscatel-cask-13-year-old | https://www.masterofmalt.com/whiskies/balvenie/balvenie-13-year-old-moscatel-cask-whisky/ | https://owengildersleeve.com/portfolio/thebalvenie-moscatelcask | https://www.whiskyhammer.com/item/25838/Balvenie/Balvenie-DCS-Compendium---Chapter-3-2004-13-Year-Old.html"
"13","Jack Daniel's Master Distiller - Limited No. 2 Edition","ADDED — optional facts left blank","B52428","statedAge | singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | caskNumber | outturn","Other null fields lack release-specific evidence. No aliases, references, merges, or regrouping are proposed.","https://www.worldwidespirits.de/whisk-e-y/whisky-nach-laendern/amerikanischer-whiskey/913/jack-daniel-s-master-distiller-no.-2-0-7l | https://whiskyauctioneer.com/whisky-lot/8213716/jack-daniels-master-distiller-series-no2-jess-motlow-litre | https://assets.whiskyauctioneer.com/2026-08/8213716-001.jpg | https://jackdanielsbottles.com/bottle/master-distiller-2/ | https://www.masterofmalt.com/whiskies/jack-daniels/jack-daniels-master-distiller-series-no-2-whiskey/"
"14","Jack Daniel's Master Distiller Series No.3 - Lemuel 'Lem' Tolley Litre","EXISTING — identity matched; no changes","B45507","","Jack Daniel's Master Distiller No. 3, 43% ABV, existing E1079/S121 member. Fresh complete 45-row brand inventory checked. No write made.","https://whiskyauctioneer.com/whisky-lot/8213706/jack-daniels-master-distiller-series-no3-lemuel-lem-tolley-litre | https://whiskyauctioneer.com/whisky-lot/8213704/jack-daniels-master-distiller-series-no3-lemuel-lem-tolley-litre | https://whiskyauctioneer.com/whisky-lot/8213725/jack-daniels-master-distiller-series-no3-lemuel-lem-tolley-litre | https://whiskyauctioneer.com/whisky-lot/8213722/jack-daniels-master-distiller-series-no3-lemuel-lem-tolley-litre | https://whiskyauctioneer.com/whisky-lot/8213721/jack-daniels-master-distiller-series-no3-lemuel-lem-tolley-litre"
"15","Kingsbury Macallan","ADDED — optional facts left blank","B52460","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Cask strength, natural colour, chill filtration, PPM and release date are not established. Bottling year is not release year. Whiskybase's Celtic Series and technical icons are not confirmed by producer material and stay unassigned. Flavor classification stays null.","https://assets.whiskyauctioneer.com/2026-04/5264049-001.JPG | https://assets.whiskyauctioneer.com/2026-04/5264049-002.JPG | https://www.whiskyhammer.com/item/242944/Macallan/Macallan---32-Year-Old-1993-Single-Cask-5122-Kingsbury.html"
"16","The Macallan Art is the Flower","ADDED — optional facts left blank","B52459","statedAge | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | caskNumber | outturn","No vintage, bottling year, cask-strength or filtration statement, PPM, cask number, exact outturn or flavor classification established. Conflicting secondary 2024/2025 bottling years stay null. The verified May 2025 launch is not a bottling date; the companion 46-year-old whisky's age and 112 decanters are not copied.","https://www.themacallan.com/en-us/single-malt-scotch-whisky/the-macallan-x-charles-rennie-mackintosh/art-is-the-flower | https://assets.whiskyauctioneer.com/2026-08/8213432-001.jpg | https://whiskymag.com/articles/macallans-tree-of-life-collection-pays-tribute-to-iconic-artist/ | https://www.thespiritsbusiness.com/2025/04/the-macallan-unveils-46yo-tree-of-life-whisky/ | https://www.themacallan.com/en-us/single-malt-scotch-whisky/the-macallan-x-charles-rennie-mackintosh | https://www.bbr.com/products-10008256085-the-macallan-art-is-the-flower-speyside-single-malt-scotch-whisky-50-4%25"
"17","Original source missing — old Macallan Lumina candidate only","SKIPPED — unresolved identity","B3280 (possible match only)","entire release","Only historical TSV ordinal 2330 survives: rejected candidate B3280, The Macallan Lumina Quest Collection, with no sufficiently specific match. The original auction title, URL, ABV and release details are missing from all recovered observation sets. Do not treat the candidate as the source identity or create a guessed Macallan. No production write.",""
"18","Kingsbury Royal Brackla","ADDED — optional facts left blank","B52461","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Cask strength, colour, chill filtration, PPM, release date and named series not established. A secondary refill claim is not printed on the label and is not added. Bottling year is not release year. No flavor classification inferred.","https://assets.whiskyauctioneer.com/2026-04/5264114-001.JPG | https://assets.whiskyauctioneer.com/2026-04/5264114-002.JPG | https://www.just-whisky.co.uk/product/royal-brackla-32-years-old-1993-2025-kingsbury-single-cask-no6805-1505251"
"19","Royal Salute 21 Year Old Scotch Whisky - Sapphire Flagon","EXISTING — identity matched; no changes","B13570","abv | bottlingYear | releaseYear | flavorProfile | description","Match the core Royal Salute 21-year blend to B13570, now named The Signature Blend. All 19 Royal Salute entity records and all 20 global search results were reviewed. Producer history explicitly identifies Sapphire, Emerald and Ruby as colour names for the core flagon's evolution. The existing green-flagon image is the historic core 21-year blend, not The Malts Blend. Colour alone does not establish a new Bottle. Old candidate B13885 Beach Polo is a different marketed edition. No production changes. Source lists 40% but the current Bottle ABV is null; no ABV patch or verification is claimed. No exact release or bottling year established. Existing flavour and generated description are not revalidated. Source page image metadata refers to another lot, so it was not treated as a verified exact-lot photo or uploaded. No alias or reference grant is made from the auction packaging title.","https://whiskyauctioneer.com/whisky-lot/5271999/royal-salute-21-year-old-scotch-whisky-sapphire-flagon | https://www.royalsalute.com/en/kingdom/ | https://www.royalsalute.com/en-us/whisky/21-year-old-the-signature-blend/"
"20","Jambala Estates Arran","ADDED — optional facts left blank","B52462","bottler | caskStrength | naturalColor | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Market-facing bottler remains null; physical packing footer alone does not establish it. Cask strength, natural colour, PPM, release date, series, edition and flavor classification are unknown. Bottling date is not a release date. New brand business details remain blank; its submitted descriptionSrc is not verifiable through the current Entity serializer.","https://assets.whiskyauctioneer.com/2026-08/5279766-001.jpg | https://whiskyauctioneer.com/learn/explore-whisky/bottles/arran-1997-jambala-estates-27-year-old?v=5288723"
"21","Caol Ila Single Malt Scotch Whisky - Limited Batch","ADDED — optional facts left blank","B52463","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber","Vintage, bottling and release dates, maturation, cask number, single-cask status, cask strength, colour, filtration and PPM are not established. No flavor category inferred. Flora & Fauna is not assigned as a series solely from reused artwork. The archive variant ID is not an image filename: label-21.jpg was an unrelated WhistlePig image and is rejected, never uploaded.","https://assets.whiskyauctioneer.com/2026-07/5278560-001.jpg | https://whiskyauctioneer.com/whisky-lot/5278560/caol-ila-25-year-old-limited-batch | https://www.whiskyhammer.com/item/179915/Caol-Ila/Caol-Ila---25-Year-Old-Flora--Fauna.html"
"22","Cardhu Wine Cask Matured - 200th Anniversary Limited Edition","ADDED — optional facts left blank","B52478","singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn","Release year/month/day and bottling year remain null: a 2023 review attribution conflicts with the 2024 anniversary context, which is not itself an exact release date. Vintage is unknown. No unsupported wine origins, finishing duration, cask strength, single-cask status, filtration, PPM, cask number, outturn or flavor profile. Added colour is independently corroborated by two exact retailer declarations. Do not use importer identity as bottler.","https://whiskyauctioneer.com/whisky-lot/8213701/cardhu-12-year-old-wine-cask-matured-200th-anniversary | https://www.malts.com/en-be/articles/cardhu-200-years-of-pioneering-spirit | https://www.homeofmalts.com/en/25490/cardhu-12-year-old-wine-cask-200th-anniversary | https://www.whisky.de/fileadmin/web_data/katalog/2025/WDE_Katalog2026_ONLINE.pdf | https://www.whiskyfun.com/2024/Today-young-Cardhu.html"
"23","Original source missing — old Chichibu candidate only","SKIPPED — unresolved identity","B2746 (possible match only)","entire release","All three recovered observation sets were checked. The only surviving entry is TSV ordinal 2336: B2746 Chichibu The Chronicles, year 2014, with a proposed ABV of 60.1%. No original auction title or URL survives, and the source index has no exact-title or exact-lot join. This old proposal is not verified source evidence; it does not establish the cask, year meaning or complete release. No new Bottle, patch or confirmed match.",""
"24","Ichiro's Chichibu - 佛像與武甲山","ADDED — optional facts left blank","B52469","statedAge | noAgeStatement | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Stated age and confirmed no-age-statement status stay null: the available small front-label text is not clear enough to positively establish either. Do not subtract 2015 from 2023 to assign an age. Cask strength, natural colour, non-chill filtration and malt PPM are not independently established by sufficiently clear product evidence; Whiskybase technical flags alone are not used. Release year and exact month/day stay null: a 2023 bottling or Taiwan edition description is not an explicit first-sale date. No flavor classification inferred. No English translation is added as a marketed alias. Kuva's staged photo is rejected; use Le Wine's clean packshot.","https://whiskyauctioneer.com/whisky-lot/5266735/chichibu-2015 | https://www.lewine.com.tw/product/ichiros-malt-chichibu-taiwan-edition-2015-single-malt-whisky/ | https://kuvawhisky.evershop.com.tw/product/656011598/"
"25","Clynelish 12 Year Old Ainslie & Heilbron","SKIPPED — unresolved identity","","entire release","The recovered row preserves the generic title and 43% ABV but not the original lot URL or label. The current exact-title join covers several historical variants. The inspected replacement lot is a white-label, 12-year, 43%, 75cl M. di Chiano import. Specialist evidence identifies several old-Clynelish/Brora bottlings under this wording, including light and dark vattings and different closures. This supports an old-Brora lead, not a unique join to the original source row. Generic modern-Clynelish lot metadata must not override this evidence. Complete Clynelish inventory (180), Brora-name search (47) and Ainslie search (1) were reviewed without a confirmed exact match. Skip the entire release; no guessed distiller, date, vatting, new Bottle or confirmed match.","https://whiskyauctioneer.com/whisky-lot/8213095/clynelish-12-year-old-ainslie-heilbron | https://whiskyauctioneer.com/learn/explore-whisky/distilleries/brora | https://www.whiskyfun.com/2025/Old-Clynelish-is-back-on-the-tasting-table.html | https://whisky.auction/auctions/lot/75771/clynelish-12-year-old | https://maltmaniacs.com/index.jsp?did=29&view=av"
"26","Original source missing — old Eagle Rare candidate only","SKIPPED — unresolved identity","B11826 (possible match only)","entire release","All three recovered observation sets were checked. Only TSV ordinal 2336 survives: B11826 Eagle Rare 10-year-old, age 10, proposed ABV 45%. The original source title, lot URL and label are missing, with no exact source join. A candidate and proposed patch cannot establish whether the source was the core bottle or a distinct pick or edition. No guessed data, new Bottle or confirmed match.",""
"27","North Star Spirits Glenburgie - Cask Series 020","ADDED — optional facts left blank","B52479","caskStrength | maltPhenolPpm | releaseYear | releaseMonth | releaseDay | caskNumber","Release year, month and day, marketed cask number, malt PPM and flavor profile remain null. The label and primary archive do not explicitly establish cask strength; a retailer that claims it also gives conflicting sherry maturation, so caskStrength remains null. Do not turn archive image numbers into a marketed cask number or a bottling date into a release date.","https://northstarspirits.com/products/archive-glenburgie-2 | https://whiskyauctioneer.com/whisky-lot/8211745/glenburgie-1995-cask-series-020-27-year-old | https://www.blue-cask.com/products/glenburgie-1995-2022-27-jahre-1 | https://www.whizita.de/en/product/glenburgie-1995-north-star-517/"
"28","Glendronach 12 Year Old Wm. Teacher & Sons","SKIPPED — unresolved identity","B5495 (possible match only)","entire release","The historical source is verified as the green dumpy GlenDronach 12-year Teacher bottling at 40%. Complete GlenDronach inventory (159 over two pages) and Wm. Teacher E5462 inventory (1) were checked. Existing B4901, B5267 and B5495 are 12-year records with null ABV and no images; fresh reads do not establish their precise releases. Their Original wording suggests later products, but missing historical provenance is not enough to rule out a sparse duplicate. B20's current image is a different modern 46% release and must not be patched to 40%. Skip creation and leave all existing records unchanged until the three possible matches can be resolved. No vintage, exact bottling date, first-release date, maturation, filtration or colour claim is verified for the historical source.","https://whiskyauctioneer.com/whisky-lot/7044046/glendronach-12-year-old-wm-teacher-sons | https://www.whisky.de/flaschen-db/details/glendronach-44.html | https://manila-wine.com/glendronach-12-year-old-teacher-s-1970-single-malt-scotch-whisky"
"29","Original source missing — old Glenlossie candidate only","SKIPPED — unresolved identity","B18887 (possible match only)","entire release","All three recovered observation sets were checked. Only TSV ordinal 2330 survives: rejected B18887 Murray McDavid 1975 (distilled at Glenlossie), with the note that no candidate proved the release. No original title, source URL, ABV, cask or exact bottler evidence survives; the source index has no exact join. The candidate's vintage and imprint are not facts about the original row. No production write or confirmed match.",""
"30","Jack Daniel's Master Distiller Series No.4 - 'Jess' Gamble Litre","EXISTING — duplicate source row; no changes","B52429","","No. 4 at 43% ABV. Package volume alone does not define a different Bottle.","https://whiskyauctioneer.com/whisky-lot/8213715/jack-daniels-master-distiller-series-no4-jess-gamble-litre | https://whiskyauctioneer.com/whisky-lot/8213714/jack-daniels-master-distiller-series-no4-jess-gamble-litre | https://whiskyauctioneer.com/whisky-lot/8213727/jack-daniels-master-distiller-series-no4-jess-gamble-litre | https://whiskyauctioneer.com/whisky-lot/8213718/jack-daniels-master-distiller-series-no4-jess-gamble-litre"
"31","Jack Daniel's Master Distiller Series No.6 - 'Jimmy' Bedford Litre","EXISTING — identity matched; no changes","B45511","name | edition | noAgeStatement | releaseYear | releaseMonth | releaseDay | description | imageSourceUrl | imageResolution","Exact identity match after the complete 47-record Jack Daniel's inventory and a fresh B45511 read. Stored edition No. 6, series S121, brand/bottler/distiller E1079 and 43% agree. The current Peated image visibly shows the blue Limited No. 6 Edition label and Jimmy Bedford box, matching the source. Its 700ml size versus the source litre is packaging only. No create, patch, image replacement or name change. This is an identity match, not a claim of full enrichment. Current name contains generated exact-fact text and the edition omits the full printed Limited No. 6 Edition wording. Current image is exact but low resolution and has no stored source URL. NAS, dates, technical flags and description remain as found. Collector sources suggest September 2017 first availability, but no date was inserted; a global expression launch and later package sizes must not become separate releases.","https://whiskyauctioneer.com/whisky-lot/8213729/jack-daniels-master-distiller-series-no6-jimmy-bedford-litre | https://www.masterofmalt.com/whiskies/jack-daniels/jack-daniels-master-distiller-series-no-6-whiskey/ | https://www.finedrams.com/jack-daniels-master-distiller-no-6-whiskey.html | https://jackdanielsbottles.com/bottle-series/master-distiller-series/"
"32","The Macallan Single Highland Malt Scotch Whisky","ADDED — optional facts left blank","B52481","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn","All precise dates remain null. The source's 1981-1984 range dates a presentation, not an exact release or bottling. No vintage is calculated from age. Cask strength, single-cask status, natural colour, filtration, malt PPM, cask number, outturn and flavor profile are unverified. The Whisky Exchange's colouring=yes lacks a second exact source; modern Macallan natural-colour claims are not projected back onto this bottle. No separate edition or series is inferred from Italian import packaging.","https://whiskyauctioneer.com/whisky-lot/8213700/macallan-8-year-old | https://www.thewhiskyexchange.com/p/3502/macallan-8-year-old-sherry-cask-bot1980s | https://astebolaffi.it/pdf/auctions/625.pdf"
"33","Macallan Royal Marriage","SKIPPED — unresolved identity","B17335 (possible match only)","entire release","The recovered source retains only Royal Marriage, with no exact original lot, strength or wedding year. Three inspected current exact-title joins describe the 2011 William/Catherine release at 46.8%, but the title also denotes the distinct 1981 Charles/Diana release at 43%. Existing B17335 Royal Wedding has null ABV/dates, no image, a generic generated description, no aliases and only its generic name as a reference. Complete 180-record Macallan inventory and the candidate/reference reads do not establish which release it represents. The 2011 source facts are preserved in local source files only. Do not create a possible duplicate or convert B17335. Do not insert either component vintage as the complete bottle's vintage.","https://whiskyauctioneer.com/whisky-lot/8213647/macallan-royal-marriage | https://www.christies.com/en/lot/lot-1811901 | https://www.abbeywhisky.com/products/macallan-royal-marriage-29th-april-2011"
"34","Original source missing — old Macallan Terra candidate only","SKIPPED — unresolved identity","B3282 (possible match only)","entire release","All three recovered observation sets were checked. Only TSV ordinal 2330 survives: rejected B3282 The Macallan Terra Quest Collection, with no sufficiently specific match. The source title, URL and exact facts are absent, with no source join. Do not replace the missing source identity with the rejected candidate. No new Bottle, patch or confirmed match.",""
"35","Old Crow Kentucky Straight Bourbon","SKIPPED — unresolved identity","","entire release","Recovered ordinals 2237/2330 preserve the generic title and an unrelated rejected Wolcott B44211 candidate, but no original lot, ABV or age. Inspected exact-title joins conflict: lot 8214028 is a historical 43%/86-proof Old Crow with a W.A. Gaines/Old Crow Distillery Company label; lot 8213206 is 40% with a 1985 catalog date. The full E1214 inventory has only the distinct four-year Reserve B17544. Search results and that absence cannot select which source release the original row meant. Skip the entire row; do not infer a modern Beam producer or copy the historical source's 43% into a guessed new Bottle.","https://whiskyauctioneer.com/whisky-lot/8214028/old-crow-kentucky-straight-bourbon | https://whiskyauctioneer.com/whisky-lot/8213206/old-crow-kentucky-straight-bourbon"
"36","Original source missing — old Port Charlotte candidate only","SKIPPED — unresolved identity","B1543 (possible match only)","entire release","All three recovered observation sets were checked. Only TSV ordinal 2330 survives: B1543 Port Charlotte 13-year-old A Dream of Scotland, rejected because title year 2002 was absent from the candidate. This preserves one source-year clue but no full original title, URL, ABV or cask. The source index has no exact join. Year 2002 alone cannot establish a particular release or its vintage meaning. No guessed Bottle, date, patch or confirmed match.",""
"37","The Maltman Aberlour","ADDED — optional facts left blank","B52471","caskStrength | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Cask strength, malt PPM, initial maturation wood, release date, and flavor profile are not established. May 2016 is a bottling date, not a release date. Series and edition remain null because no distinct marketed sub-range or release descriptor is established. Tasting notes are read-only.","https://gommonehk.com/products/aberlour-1994-2016-21-year-old-the-maltman-8830 | https://whiskyauctioneer.com/whisky-lot/8213325/aberlour-1994-maltman-21-year-old | https://www.meadowsideblending.com/the-maltman/"
"38","North Star Spirits Annandale - Cask Series 021","ADDED — optional facts left blank","B52480","maltPhenolPpm | releaseYear | releaseMonth | releaseDay | caskNumber","Release year, month and day, marketed cask number, malt PPM and flavor profile remain null. A 2023 listing date is not proof of first availability, and the printed November 2022 bottling date is not copied into release fields. Do not infer a peated expression or malt PPM from general Annandale production.","https://whiskyauctioneer.com/whisky-lot/8211773/annandale-2015-cask-series-021-7-year-old | https://www.abbeywhisky.com/products/annandale-7-year-old-2015-north-star-spirits-cs021 | https://www.just-whisky.co.uk/product/annandale-7-years-old-2015-2022-north-star-spirits-cask-series-021-1492296"
"39","The Maltman Benrinnes","ADDED — optional facts left blank","B52470","caskStrength | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Cask strength, producer-stated malt PPM and release date are not established and stay null. The label's June 2016 bottling date is not treated as a release date. Whiskybase's cask-strength flag alone is not enough to populate that fact. No flavor classification inferred. Generic Vintage Single Cask text is not promoted to a new series. Tasting notes are read-only in the live schema and were not submitted. Separate entity-read limitation: E366646 description-source tag returns null and cannot be verified through the entity serializer; its name, kind, owner, description, website and country are verified. No blind retry or app-code change.","https://whiskyauctioneer.com/whisky-lot/8213361/benrinnes-1997-maltman-18-year-old | https://assets.whiskyauctioneer.com/styles/xlarge_1_1/s3/2026-08/8213361-002.jpg?itok=16I8m7eQ | https://captainscotch.de/whisky/maltman-benrinnes-18-years-1997-2016-cask-3200-07l/ | https://www.meadowsideblending.com/the-maltman/"
"40","Bowmore Sea Dragon","ADDED — optional facts left blank","B52564","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","Series, edition, single-cask and cask-strength status, natural colour, filtration, malt PPM, vintage, bottling and release dates, producer maturation wording, cask number, outturn and flavor profile are not established and stay null. A catalog availability date is not an original release date. All 26 writable fields and the image reviewed. No alternate marketed name is proposed as an alias, and no noncanonical matching reference is added. Exact clean product image is saved locally. Upload pending because the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5283739/bowmore-30-year-old-sea-dragon-ceramic-decanter | https://www.whisky.de/fileadmin/web_data/katalog/Alte_Preislisten/preis0296.pdf | https://www.whisky.de/fileadmin/web_data/pdf/kat0900.pdf"
"41","Bowmore 8 Year Old","SKIPPED — unresolved identity","B1227 (possible match only)","entire release","Exact source bottle and front label establish Bowmore single malt, age 8, 40% ABV. Fresh complete 174-record brand inventory includes B1227 Bowmore 08, age 8, but its ABV, dates and image are empty. It has no aliases or barcodes and its only reference is the generic Bowmore 08. Its generated description supplies no exact provenance. It could already represent this 40% release, or the different 43% eight-year release represented by B47533. Do not create a possible duplicate and do not assign 40% to the ambiguous existing record. No production write. Resolve with an exact historical source for B1227 before adding or changing data.","https://whiskyauctioneer.com/whisky-lot/8212877/bowmore-8-year-old | https://www.thewhiskyexchange.com/p/900/bowmore-8-year-old | https://www.whisky.com/whisky-database/details/bowmore-alte-ausfuehrung.html"
